日付,"機種名","台番号","G数","差枚","BB","RB","ART","合成確率","BB確率","RB確率","ART確率"
2026-06-25,"ネオアイムジャグラーEX","572","2,997","-498","10","6","0","1/187.3","1/299.7","1/499.5","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","573","2,344","-568","6","6","0","1/195.3","1/390.7","1/390.7","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","574","5,696","+232","22","16","0","1/149.9","1/258.9","1/356.0","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","575","2,990","-98","11","7","0","1/166.1","1/271.8","1/427.1","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","576","3,780","-344","15","5","0","1/189.0","1/252.0","1/756.0","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","577","2,715","-1,200","7","4","0","1/246.8","1/387.9","1/678.8","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","582","1,608","-765","4","3","0","1/229.7","1/402.0","1/536.0","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","583","3,480","-1,804","8","5","0","1/267.7","1/435.0","1/696.0","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","584","2,083","-1,312","3","3","0","1/347.2","1/694.3","1/694.3","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","585","4,029","-84","16","9","0","1/161.2","1/251.8","1/447.7","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","586","3,474","-1,397","7","11","0","1/193.0","1/496.3","1/315.8","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","587","5,554","-975","16","16","0","1/173.6","1/347.1","1/347.1","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","588","1,214","-372","3","3","0","1/202.3","1/404.7","1/404.7","1/0.0"
2026-06-25,"ネオアイムジャグラーEX","589","6,086","+442","28","10","0","1/160.2","1/217.4","1/608.6","1/0.0"
2026-06-25,"北斗の拳 転生の章2","437","5,322","-2,642","40","13","0","1/100.4","1/133.1","1/409.4","1/0.0"
2026-06-25,"北斗の拳 転生の章2","438","4,194","-667","47","11","0","1/72.3","1/89.2","1/381.3","1/0.0"
2026-06-25,"北斗の拳 転生の章2","439","5,092","+2,807","71","13","0","1/60.6","1/71.7","1/391.7","1/0.0"
2026-06-25,"北斗の拳 転生の章2","440","2,882","-1,312","23","8","0","1/93.0","1/125.3","1/360.2","1/0.0"
2026-06-25,"北斗の拳 転生の章2","441","3,463","-274","41","12","0","1/65.3","1/84.5","1/288.6","1/0.0"
2026-06-25,"北斗の拳 転生の章2","442","2,730","-779","25","7","0","1/85.3","1/109.2","1/390.0","1/0.0"
2026-06-25,"北斗の拳 転生の章2","443","4,193","+3,464","90","15","0","1/39.9","1/46.6","1/279.5","1/0.0"
2026-06-25,"北斗の拳 転生の章2","444","2,467","-2,263","12","5","0","1/145.1","1/205.6","1/493.4","1/0.0"
2026-06-25,"北斗の拳 転生の章2","445","2,615","-957","25","7","0","1/81.7","1/104.6","1/373.6","1/0.0"
2026-06-25,"北斗の拳 転生の章2","446","2,945","+133","41","7","0","1/61.4","1/71.8","1/420.7","1/0.0"
2026-06-25,"北斗の拳 転生の章2","447","1,856","+2,727","53","7","0","1/30.9","1/35.0","1/265.1","1/0.0"
2026-06-25,"北斗の拳 転生の章2","448","3,719","-274","41","10","0","1/72.9","1/90.7","1/371.9","1/0.0"
2026-06-25,"北斗の拳 転生の章2","449","4,493","+348","53","9","0","1/72.5","1/84.8","1/499.2","1/0.0"
2026-06-25,"マイジャグラーV","393","5,479","-765","17","15","0","1/171.2","1/322.3","1/365.3","1/0.0"
2026-06-25,"マイジャグラーV","394","4,293","-56","15","10","0","1/171.7","1/286.2","1/429.3","1/0.0"
2026-06-25,"マイジャグラーV","395","5,100","-260","18","14","0","1/159.4","1/283.3","1/364.3","1/0.0"
2026-06-25,"マイジャグラーV","396","3,361","+1,621","21","7","0","1/120.0","1/160.0","1/480.1","1/0.0"
2026-06-25,"マイジャグラーV","397","6,230","+77","23","14","0","1/168.4","1/270.9","1/445.0","1/0.0"
2026-06-25,"マイジャグラーV","398","3,232","-835","10","8","0","1/179.6","1/323.2","1/404.0","1/0.0"
2026-06-25,"マイジャグラーV","399","6,599","-358","24","18","0","1/157.1","1/275.0","1/366.6","1/0.0"
2026-06-25,"マイジャグラーV","400","3,033","-1,046","9","3","0","1/252.8","1/337.0","1/1011.0","1/0.0"
